AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.848,2.139,-63,0.959,0.106,-47,10.842,1.75,-69,1,1
7.731,2.235,-62,0.989,0.082,-47,10.686,1.845,-69,1,1
7.76,2.145,-63,0.989,0.15,-47,10.803,1.754,-69,1,1
7.731,1.542,-63,1.038,0.132,-47,10.764,1.745,-69,1,1
7.76,1.891,-63,0.998,0.186,-47,10.764,1.716,-69,1,1
7.789,1.804,-63,1.038,0.132,-47,10.803,1.755,-69,1,1
7.76,1.809,-63,0.999,0.124,-46,10.764,1.807,-69,1,1
7.731,1.924,-63,0.989,0.138,-46,10.686,1.844,-69,1,1
7.731,2.219,-63,1.037,0.136,-46,10.803,1.8,-69,1,1
7.701,2.359,-58,0.989,0.058,-46,10.647,1.863,-69,1,1
7.701,2.273,-63,1.047,0.177,-47,10.647,1.922,-69,1,1
7.789,2.189,-64,1.077,0.121,-47,10.764,1.834,-69,1,1
7.76,2.297,-64,1.018,0.099,-46,10.881,1.717,-69,1,1
7.789,2.214,-64,0.959,0.166,-47,10.803,1.8,-69,1,1
7.76,2.204,-64,1.116,0.123,-46,10.764,1.846,-69,1,1
7.818,2.195,-64,1.018,0.086,-46,10.686,1.902,-68,1,1
7.789,2.148,-64,0.959,0.158,-47,10.647,1.964,-68,1,1
7.672,2.246,-64,1.037,0.136,-47,10.764,1.891,-68,1,1
7.76,2.298,-64,1.018,0.154,-47,10.647,1.962,-68,1,1
7.731,2.196,-65,0.989,0.15,-47,10.647,1.891,-69,1,1
7.731,2.276,-65,1.038,0.083,-47,10.686,1.973,-69,1,1
7.731,2.179,-64,1.047,0.177,-46,10.764,2.007,-69,1,1
7.672,2.208,-65,1.047,0.192,-46,10.764,1.964,-69,1,1
7.701,2.267,-65,1.077,0.188,-46,10.881,1.862,-69,1,1
7.672,2.186,-65,1.077,0.175,-47,10.803,1.916,-69,1,1
7.946,2.146,-59,1.047,0.12,-47,10.998,1.748,-68,1,1
