AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
1.227,0.086,-53,10.022,0.199,-68,5.588,1.134,-64,1,8
1.227,0.083,-52,10.139,0.164,-69,5.618,1.08,-63,1,8
1.227,0.132,-52,10.061,0.158,-68,5.676,1.069,-64,1,8
1.109,0.196,-52,9.983,0.15,-68,5.735,1.029,-63,1,8
1.109,0.186,-52,10.061,0.124,-68,5.559,1.129,-63,1,8
1.031,0.263,-53,10.061,0.108,-68,5.588,1.114,-63,1,8
0.914,0.276,-52,10.022,0.176,-68,5.647,1.085,-64,1,8
1.148,0.152,-52,10.217,0.193,-68,5.559,1.09,-64,1,8
1.031,0.263,-52,9.983,0.135,-68,5.618,1.084,-64,1,8
0.914,0.309,-52,10.1,0.189,-68,5.647,1.085,-64,1,8
0.914,0.814,-47,10.129,0.137,-68,5.647,1.027,-64,1,8
0.992,0.208,-52,10.1,0.084,-68,5.647,1.087,-63,1,8
0.992,0.212,-53,10.061,0.188,-68,5.676,1.057,-64,1,8
0.953,0.276,-53,10.022,0.175,-68,5.706,1.019,-63,1,8
1.188,0.174,-52,10.1,0.166,-68,5.588,1.137,-63,1,8
1.28,0.146,-47,10.061,0.145,-68,5.618,1.081,-64,1,8
1.266,0.098,-52,10.159,0.111,-68,5.559,1.153,-64,1,8
1.07,0.181,-52,10.1,0.152,-69,5.617,1.062,-64,1,8
1.07,0.185,-52,10.139,0.159,-68,5.559,1.149,-64,1,8
1.07,0.215,-53,10.061,0.206,-69,5.588,1.113,-64,1,8
1.148,0.132,-53,10.139,0.209,-68,5.53,1.161,-64,1,8
0.953,0.276,-52,10.1,0.193,-69,5.676,1.075,-64,1,8
0.992,0.229,-53,10.217,0.115,-69,5.588,1.116,-64,1,8
1.148,0.182,-52,10.022,0.177,-68,5.588,1.118,-64,1,8
1.07,0.216,-52,10.061,0.207,-68,5.618,1.107,-64,1,8
1.109,0.15,-52,10.061,0.165,-68,5.588,1.042,-64,1,8
0.914,0.271,-53,10.139,0.133,-69,5.559,1.111,-64,1,8
1.266,0.109,-52,10.139,0.158,-69,5.706,1.068,-64,1,8
0.953,0.261,-52,10.061,0.162,-69,5.618,1.104,-63,1,8
1.109,0.186,-53,10.139,0.195,-69,5.559,1.093,-64,1,8
0.914,0.287,-52,10.139,0.154,-69,5.647,1.051,-64,1,8
0.953,0.261,-53,10.217,0.131,-69,5.618,1.124,-64,1,8
0.914,0.294,-52,10.06,0.224,-64,5.705,1.077,-64,1,8
1.031,0.25,-52,10.217,0.124,-69,5.559,1.129,-64,1,8
1.227,0.121,-52,10.1,0.188,-69,5.676,1.036,-64,1,8
1.07,0.153,-52,10.022,0.216,-69,5.647,1.047,-64,1,8
1.266,0.116,-52,10.217,0.109,-69,5.559,1.131,-64,1,8
1.402,0.546,-47,10.139,0.154,-69,5.588,1.101,-64,1,8
1.07,0.206,-52,10.1,0.087,-69,5.647,1.053,-64,1,8
0.992,0.258,-52,10.178,0.129,-69,5.706,1.005,-64,1,8
1.227,0.098,-52,10.1,0.128,-68,5.647,1.103,-64,1,8
1.266,0.09,-52,10.1,0.094,-69,5.706,0.999,-64,1,8
1.07,0.174,-52,10.022,0.217,-68,5.735,1.063,-64,1,8
1.031,0.171,-52,10.178,0.126,-69,5.588,1.101,-64,1,8
1.109,0.196,-52,10.295,0.126,-68,5.618,1.08,-64,1,8
1.148,0.164,-53,10.217,0.145,-68,5.618,1.064,-64,1,8
1.031,0.215,-52,10.012,0.113,-69,5.588,1.11,-63,1,8
1.148,0.121,-53,10.022,0.211,-69,5.676,1.052,-64,1,8
1.109,0.187,-53,10.061,0.151,-69,5.647,1.072,-64,1,8
1.051,0.212,-52,10.159,0.113,-68,5.647,1.103,-64,1,8
1.285,0.075,-52,10.178,0.145,-69,5.647,1.085,-64,1,8
1.07,0.258,-52,10.139,0.126,-68,5.647,1.068,-64,1,8
1.148,0.126,-53,10.217,0.105,-68,5.588,1.075,-64,1,8
0.992,0.234,-53,10.139,0.131,-68,5.559,1.095,-64,1,8
1.07,0.136,-53,10.022,0.103,-68,5.559,1.097,-64,1,8
0.953,0.243,-52,10.159,0.131,-68,5.735,1.065,-64,1,8
1.188,0.151,-52,10.217,0.181,-68,5.647,1.053,-64,1,8
1.118,0.412,-50,10.188,0.108,-68,5.647,1.087,-64,1,8
0.953,0.261,-52,10.139,0.157,-68,5.764,0.99,-64,1,8
1.059,0.391,-50,10.246,0.089,-68,5.559,1.113,-64,1,8
0.953,0.271,-52,10.217,0.152,-68,5.588,1.101,-64,1,8
1.109,0.146,-51,10.217,0.154,-68,5.53,1.149,-64,1,8
1.118,0.412,-51,10.276,0.11,-68,5.647,1.107,-64,1,8
1.109,0.211,-52,10.159,0.148,-68,5.647,1.129,-64,1,8
0.953,0.261,-51,10.159,0.097,-68,5.588,1.137,-64,1,8
1.03,0.574,-51,10.188,0.167,-68,5.617,1.142,-64,1,8
1.277,0.14,-50,10.188,0.173,-68,5.617,1.09,-64,1,8
1.199,0.335,-51,10.217,0.215,-68,5.735,1.027,-64,1,8
1.188,0.153,-53,10.1,0.089,-68,5.676,1.079,-64,1,8
0.953,0.261,-53,10.178,0.139,-68,5.559,1.117,-64,1,8
1.188,0.098,-53,10.1,0.111,-68,5.676,1.038,-63,1,8
1.031,0.188,-53,10.178,0.116,-68,5.588,1.097,-64,1,8
0.914,0.361,-50,9.983,0.214,-68,5.53,1.127,-63,1,8
1.148,0.15,-53,10.022,0.147,-68,5.618,1.12,-64,1,8
0.992,0.237,-53,10.1,0.166,-68,5.676,1.095,-64,1,8
0.992,0.285,-53,10.061,0.198,-69,5.676,1.017,-64,1,8
1.031,0.224,-47,10.1,0.191,-69,5.676,1.05,-64,1,8
0.953,0.292,-53,9.983,0.197,-68,5.735,1.006,-63,1,8
1.148,0.208,-53,10.188,0.088,-68,5.676,1.071,-64,1,8
1.031,0.192,-52,10.1,0.084,-68,5.588,1.14,-64,1,8
1.227,0.138,-53,10.061,0.153,-68,5.735,1.025,-64,1,8
1.148,0.15,-53,10.012,0.105,-68,5.618,1.125,-64,1,8
1.227,0.153,-53,10.188,0.103,-68,5.588,1.097,-64,1,8
1.139,0.216,-52,10.1,0.128,-69,5.676,1.071,-64,1,8
0.992,0.208,-53,10.178,0.207,-69,5.617,1.14,-63,1,8
1.148,0.208,-53,10.061,0.149,-69,5.618,1.04,-63,1,8
1.188,0.146,-53,10.139,0.124,-68,5.618,1.08,-64,1,8
1.461,0,-53,10.139,0.126,-69,5.559,1.095,-63,1,8
1.238,0.087,-51,10.061,0.245,-69,5.676,1.054,-64,1,8
1.188,0.146,-53,10.139,0.165,-68,5.588,1.137,-64,1,8
1.07,0.177,-53,10.159,0.155,-68,5.588,1.115,-64,1,8
0.875,0.279,-53,10.217,0.168,-69,5.647,1.11,-64,1,8
1.188,0.15,-53,10.139,0.139,-68,5.5,1.159,-64,1,8
0.953,0.261,-52,10.022,0.175,-68,5.647,1.078,-64,1,8
0.953,0.223,-52,10.178,0.13,-68,5.706,1.022,-64,1,8
0.875,0.316,-53,10.129,0.163,-69,5.588,1.059,-64,1,8
1.149,0.151,-52,10.1,0.215,-69,5.705,1.055,-64,1,8
1.227,0.116,-52,10.1,0.196,-68,5.647,1.027,-64,1,8
1.148,0.15,-52,10.1,0.192,-68,5.53,1.106,-64,1,8
1.139,0.205,-53,10.1,0.166,-68,5.618,1.063,-64,1,8
0.914,0.311,-52,10.061,0.261,-69,5.5,1.183,-64,1,8
1.07,0.17,-53,10.1,0.191,-69,5.618,1.064,-64,1,8
0.992,0.264,-53,10.178,0.144,-69,5.471,1.173,-64,1,8
1.109,0.15,-51,10.1,0.143,-68,5.676,1.072,-64,1,8
0.914,0.276,-53,10.022,0.177,-69,5.5,1.161,-63,1,8
