AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.947,0.775,-58,5.022,0.924,-59,6.731,2.366,-69,4,4,7,9,7,0,0,9
5.006,0.826,-58,5.022,0.939,-59,6.555,2.085,-69,4,4,7,9,7,0,0,9
4.918,0.876,-58,4.944,0.947,-59,6.467,2.072,-73,4,4,7,9,7,0,0,9
4.771,0.955,-59,4.983,0.93,-59,6.379,2.137,-71,4,4,7,9,7,0,0,9
4.947,0.761,-58,4.983,0.967,-59,6.584,2.088,-71,4,4,7,9,7,0,0,9
4.977,0.851,-58,4.944,0.974,-59,6.409,2.079,-71,4,4,7,9,7,0,0,9
4.918,0.79,-58,5.022,0.948,-59,6.379,2.306,-70,4,4,7,9,7,0,0,9
5.152,0.613,-58,5.139,0.924,-59,6.555,2.336,-70,4,4,7,9,7,0,0,9
4.947,0.832,-58,4.905,0.988,-60,6.907,1.987,-70,4,4,7,9,7,0,0,9
4.801,0.96,-58,4.866,0.969,-60,6.819,2.185,-70,4,4,7,9,7,0,0,9
4.947,0.871,-57,4.944,0.987,-59,6.79,2.259,-70,4,4,7,9,7,0,0,9
4.918,0.771,-58,4.905,0.969,-59,6.789,2.104,-69,4,4,7,9,7,0,0,9
4.83,0.855,-58,4.827,0.98,-59,6.76,2.179,-70,4,4,7,9,7,0,0,9
5.035,0.774,-58,5.061,0.916,-60,6.614,2.248,-70,4,4,7,9,7,0,0,9
4.947,0.763,-57,4.905,0.952,-60,6.643,2.312,-70,4,4,7,9,7,0,0,9
5.006,0.754,-58,4.866,0.941,-59,6.643,2.292,-69,4,4,7,9,7,0,0,9
5.016,0.713,-58,4.983,0.847,-59,6.702,2.263,-69,4,4,7,9,7,0,0,9
5.035,0.742,-58,5.1,0.871,-59,6.672,2.2,-69,4,4,7,9,7,0,0,9
5.064,0.677,-57,4.866,0.984,-59,6.614,2.269,-69,4,4,7,9,7,0,0,9
5.094,0.68,-57,4.944,0.941,-59,6.672,2.225,-69,4,4,7,9,7,0,0,9
4.938,0.862,-58,4.944,0.953,-59,6.614,2.155,-69,4,4,7,9,7,0,0,9
4.82,0.912,-58,4.944,0.959,-59,6.789,2.162,-69,4,4,7,9,7,0,0,9
4.987,0.749,-53,4.944,0.963,-59,6.643,2.273,-69,4,4,7,9,7,0,0,9
4.859,0.915,-58,4.866,0.941,-60,6.672,2.24,-69,4,4,7,9,7,0,0,9
4.977,0.801,-58,4.866,0.984,-59,6.614,2.289,-69,4,4,7,9,7,0,0,9
4.859,0.899,-53,4.944,0.99,-59,6.731,2.152,-69,4,4,7,9,7,0,0,9
5.094,0.661,-58,4.827,1.003,-63,6.848,2.095,-70,4,4,7,9,7,0,0,9
4.947,0.861,-58,4.788,1.008,-62,6.731,2.269,-69,4,4,7,9,7,0,0,9
4.977,0.759,-58,5.022,0.878,-63,6.584,2.226,-70,4,4,7,9,7,0,0,9
4.947,0.837,-57,4.983,0.986,-60,6.76,2.201,-70,4,4,7,9,7,0,0,9
5.123,0.667,-58,4.905,1.012,-59,6.76,2.062,-70,4,4,7,9,7,0,0,9
5.094,0.806,-58,4.944,1.005,-59,7.287,1.992,-61,4,4,7,9,7,0,0,9
4.83,0.912,-54,4.866,1.013,-59,6.702,2.189,-70,4,4,7,9,7,0,0,9
4.889,0.959,-57,5.022,0.924,-59,6.702,2.17,-70,4,4,7,9,7,0,0,9
5.397,0.7,-57,5.061,0.889,-59,6.76,2.216,-70,4,4,7,9,7,0,0,9
4.918,0.894,-58,4.983,0.939,-59,6.672,2.296,-70,4,4,7,9,7,0,0,9
4.771,1.034,-58,4.983,0.896,-59,6.789,2.222,-70,4,4,7,9,7,0,0,9
4.83,0.933,-58,5.061,0.844,-59,6.877,2.079,-71,4,4,7,9,7,0,0,9
4.977,0.862,-58,5.022,0.834,-61,6.877,2.022,-71,4,4,7,9,7,0,0,9
4.977,0.899,-58,5.061,0.801,-61,7.083,2.018,-69,4,4,7,9,7,0,0,9
4.938,0.814,-57,5.178,0.759,-61,7.287,1.955,-69,4,4,7,9,7,0,0,9
4.859,0.95,-57,5.139,0.776,-59,6.965,1.928,-70,4,4,7,9,7,0,0,9
4.889,0.908,-55,4.944,0.932,-59,6.702,2.128,-71,4,4,7,9,7,0,0,9
5.133,0.62,-56,5.178,0.814,-59,6.702,2.056,-70,4,4,7,9,7,0,0,9
5.064,0.717,-58,5.178,0.803,-59,6.702,2.173,-71,4,4,7,9,7,0,0,9
5.094,0.719,-57,5.217,0.796,-59,6.731,2.054,-72,4,4,7,9,7,0,0,9
5.278,0.755,-56,5.061,0.859,-59,6.76,2.062,-71,4,4,7,9,7,0,0,9
5.006,0.703,-56,5.139,0.849,-59,6.702,2.108,-72,4,4,7,9,7,0,0,9
4.918,0.823,-56,5.217,0.809,-59,6.643,2.198,-72,4,4,7,9,7,0,0,9
4.83,0.947,-57,5.256,0.764,-59,6.672,2.185,-72,4,4,7,9,7,0,0,9
5.006,0.76,-57,5.217,0.765,-59,6.584,2.185,-72,4,4,7,9,7,0,0,9
5.064,0.83,-58,5.217,0.785,-59,6.819,2.168,-71,4,4,7,9,7,0,0,9
5.006,0.803,-58,5.295,0.732,-59,6.848,2.075,-71,4,4,7,9,7,0,0,9
5.035,0.774,-57,5.256,0.718,-59,6.614,2.273,-71,4,4,7,9,7,0,0,9
5.035,1.191,-52,5.178,0.792,-59,6.848,2.154,-69,4,4,7,9,7,0,0,9
4.859,0.913,-57,5.256,0.764,-59,6.614,2.152,-71,4,4,7,9,7,0,0,9
5.035,1.182,-53,5.178,0.801,-59,6.672,2.186,-71,4,4,7,9,7,0,0,9
4.918,0.89,-57,5.178,0.803,-59,6.877,1.907,-71,4,4,7,9,7,0,0,9
4.918,0.907,-58,5.256,0.76,-59,6.584,2.147,-71,4,4,7,9,7,0,0,9
4.859,0.971,-58,5.256,0.765,-59,6.731,2.058,-72,4,4,7,9,7,0,0,9
4.694,1.104,-54,5.139,0.763,-59,6.79,1.99,-73,4,4,7,9,7,0,0,9
4.859,0.932,-57,5.217,0.766,-59,6.907,1.891,-72,4,4,7,9,7,0,0,9
5.094,0.759,-57,5.178,0.77,-59,6.819,1.975,-73,4,4,7,9,7,0,0,9
4.889,0.924,-57,5.217,0.774,-59,6.848,1.98,-72,4,4,7,9,7,0,0,9
4.859,0.99,-57,5.1,0.845,-59,6.907,1.972,-72,4,4,7,9,7,0,0,9
5.064,0.792,-53,5.256,0.746,-59,6.702,2.011,-71,4,4,7,9,7,0,0,9
4.977,0.823,-57,4.983,0.871,-59,6.702,2.034,-72,4,4,7,9,7,0,0,9
4.918,0.939,-58,4.905,0.942,-59,6.76,2.06,-72,4,4,7,9,7,0,0,9
5.006,0.773,-57,4.827,0.936,-60,6.819,1.956,-72,4,4,7,9,7,0,0,9
5.094,0.746,-57,4.827,0.994,-60,6.848,1.919,-72,4,4,7,9,7,0,0,9
5.182,0.665,-57,4.709,1.009,-60,6.76,2.023,-72,4,4,7,9,7,0,0,9
4.977,0.856,-57,4.827,0.978,-60,6.965,1.959,-72,4,4,7,9,7,0,0,9
4.83,0.984,-58,4.905,0.952,-60,6.848,2.094,-72,4,4,7,9,7,0,0,9
5.094,0.776,-57,4.866,0.929,-60,6.76,2.024,-72,4,4,7,9,7,0,0,9
4.889,0.82,-58,4.866,0.986,-60,6.819,2.108,-72,4,4,7,9,7,0,0,9
4.918,0.831,-58,4.749,1.009,-60,6.848,1.997,-72,4,4,7,9,7,0,0,9
4.83,0.986,-59,4.748,1.015,-59,6.848,2.019,-72,4,4,7,9,7,0,0,9
5.094,0.686,-58,4.748,1.059,-60,6.819,2.07,-72,4,4,7,9,7,0,0,9
