AP1RTT,AP1STDEV,AP2RTT,AP2STDEV,AP3RTT,AP3STDEV,x,y,predicted_x,predicted_y
9.723,1.167,5.959,0.158,9.514,0.126,1,1,3.212819071428571,1.2207195555555548
9.898,1.106,5.92,0.174,9.368,0.074,1,1,2.7706442857142877,1.0042220000000006
10.436,1.204,5.92,0.199,9.397,0.097,1,1,2.0281080714285724,0.3964613333333331
9.811,1.191,6.037,0.1,9.426,0.112,1,1,2.9709825000000007,1.177202666666667
9.752,1.181,5.959,0.198,9.426,0.111,1,1,3.0534265714285698,1.1893431666666652
9.693,1.204,5.998,0.177,9.475,0.127,1,1,3.201526857142857,1.2789863888888897
9.693,1.178,5.92,0.173,9.368,0.143,1,1,3.057512500000002,1.2273417222222227
9.664,1.21,5.881,0.168,9.475,0.128,1,1,3.2416234999999998,1.2329591666666675
9.752,1.22,5.998,0.168,9.475,0.143,1,1,3.1195800714285697,1.215249999999999
9.869,1.034,5.92,0.174,9.397,0.149,1,1,2.850460571428573,1.0360688333333334
10.338,0.955,5.959,0.197,9.456,0.146,1,1,2.2529779999999993,0.5353020555555553
9.781,1.105,5.803,0.228,9.456,0.098,1,1,3.0534267857142847,1.0559359999999995
9.693,1.234,5.881,0.204,9.436,0.122,1,1,3.1488462142857148,1.20177288888889
9.781,1.105,5.764,0.217,9.426,0.113,1,1,3.0129653571428574,1.0308741666666665
10.045,1.045,5.998,0.187,9.397,0.16,1,1,2.600113142857144,0.8929988333333339
9.986,1.021,5.803,0.213,9.514,0.095,1,1,2.842571428571427,0.8308118333333323
9.781,1.142,5.881,0.126,9.455,0.105,1,1,3.0520759999999996,1.1065666666666665
9.781,1.168,5.92,0.129,9.475,0.096,1,1,3.079118857142855,1.1321354999999997
9.781,1.23,5.998,0.206,9.358,0.056,1,1,2.9217287857142864,1.1837801666666665
9.811,1.156,5.842,0.199,9.426,0.117,1,1,2.9709825000000007,1.0485135
10.016,1.072,5.959,0.123,9.475,0.153,1,1,2.746812071428571,0.8994125
10.367,0.841,5.998,0.12,9.514,0.103,1,1,2.28867907142857,0.5278508333333328
9.986,1.091,6.037,0.092,9.475,0.143,1,1,2.7896734999999984,0.9847318333333325
10.191,0.989,6.037,0.175,9.456,0.105,1,1,2.468532499999998,0.7549382222222213
10.631,0.825,5.959,0.18,9.397,0.074,1,1,1.7346748571428574,0.19397333333333222
9.811,1.183,5.959,0.12,9.475,0.105,1,1,3.0371359999999994,1.1252199999999999
9.723,1.145,5.959,0.212,9.309,0.103,1,1,2.9371965714285695,1.2207195555555548
9.811,1.166,6.037,0.151,9.397,0.126,1,1,2.9319920000000015,1.177202666666667
9.928,1.061,5.959,0.178,9.358,0.158,1,1,2.714784285714285,0.9969164999999987
10.495,1.165,5.92,0.199,9.397,0.134,1,1,1.9398988571428586,0.3278541666666668
9.986,1.049,5.959,0.151,9.358,0.171,1,1,2.6322834285714287,0.9327491666666659
9.957,1.042,5.998,0.121,9.456,0.085,1,1,2.8052919285714273,0.9907863888888886
9.957,1.123,5.998,0.115,9.397,0.169,1,1,2.7258400000000003,0.9907863888888886
10.865,0.602,5.92,0.122,9.319,0.183,1,1,1.2711097142857162,-0.11121249999999981
9.84,1.18,5.998,0.111,9.368,0.076,1,1,2.852416000000001,1.1194668888888895
9.898,1.467,5.998,0.177,9.358,0.182,1,1,2.757268571428573,1.0558666666666676
9.811,1.183,5.92,0.175,9.319,0.182,1,1,2.827717142857145,1.0994821666666668
9.869,1.175,5.959,0.168,9.514,0.077,1,1,3.0085025,1.0618066666666666
10.396,0.987,5.881,0.139,9.358,0.189,1,1,2.0353819999999994,0.4171858333333323
9.781,1.127,5.959,0.136,9.358,0.145,1,1,2.921728785714286,1.1578733333333326
9.693,1.251,5.881,0.205,9.397,0.196,1,1,3.096382857142858,1.20177288888889
10.104,0.982,6.037,0.083,9.397,0.089,1,1,2.5151995000000014,0.8530307222222228
10.982,0.513,5.998,0.104,9.397,0.189,1,1,1.1928060714285729,-0.20157333333333266
9.986,0.998,5.92,0.137,9.436,0.125,1,1,2.736992857142856,0.9070113333333327
9.928,1.117,5.959,0.163,9.426,0.089,1,1,2.8060208571428564,0.9969164999999987
10.074,1.122,5.998,0.109,9.397,0.187,1,1,2.5584380714285726,0.8605848888888895
10.016,1.405,5.803,0.214,9.436,0.151,1,1,2.6941314285714286,0.7974751666666664
